station_id,station_guid,easting,northing,catchment_area,station_name,river_name,date_opened,date_closed,wiski_id,river_level_tool_id,rfa_station_id,station_status,station_status_reason,longitude,latitude,utm_x,utm_y,anglian,dee,humber,north_west,northumbria,severn,solway_tweed,south_east,south_west,thames
052d0819-2a32-47df-9b99-c243c9c8235b,052d0819-2a32-47df-9b99-c243c9c8235b,581271,208591,,Ulting Sarasota,River Chelmer,2008-10-31,,037048U,,,Active,"",0.624437,51.746683,750182.691567047,5739081.84860831,1,0,0,0,0,0,0,0,0,0
48513a18-e485-4317-ae92-93bf4f7f3e54,48513a18-e485-4317-ae92-93bf4f7f3e54,304007,139460,36.3,Beggearn Huish,Washford River,1967-01-01,,510810,3089,51003,Active,"",-3.373695,51.146322,473860.573124691,5666163.03599927,0,0,0,0,0,0,0,0,1,0
f22f80f8-1bb0-4e77-b225-291487060c6f,f22f80f8-1bb0-4e77-b225-291487060c6f,447677,402022,311,Adwick,River Dearne,1956-10-29,,F0803,8002,27030,Active,"",-1.282505,53.512713,613886.689239283,5930680.6203792,0,0,1,0,0,0,0,0,0,0
95a1245a-5329-4a2b-9024-d70ebe9707df,95a1245a-5329-4a2b-9024-d70ebe9707df,427271,255587,102,Wellesbourne,River Dene,1976-05-12,,2048,2029,54048,Active,"",-1.602416,52.197839,595519.025205363,5783963.36188418,0,0,0,0,0,1,0,0,0,1
3c4d4f78-2d0e-474a-b884-65a9daca18fb,3c4d4f78-2d0e-474a-b884-65a9daca18fb,293602,101602,600.9,Thorverton,River Exe,1956-04-30,,SS90F011,3260,45001,Active,"",-3.511302,50.804172,463971.425424664,5628173.02930604,0,0,0,0,0,0,0,0,1,0
959f3e4f-bb6e-4f4a-8082-0157eea99482,959f3e4f-bb6e-4f4a-8082-0157eea99482,345173,163064,,Iwood,Congresbury Yeo,1973-03-12,,521410,3060,52017,Active,"",-2.78889,51.363977,514697.296017343,5690322.92270209,0,0,0,0,0,1,0,0,0,1
fbecd84a-70b6-4725-80ba-67c7adb3cae7,fbecd84a-70b6-4725-80ba-67c7adb3cae7,330639,497190,,Coniston Upstream,Church Beck,2003-12-05,,737529,,,Active,"",-3.069004,54.365471,495516.531366788,6024187.57780332,0,0,0,1,0,0,0,0,0,0
70f658a0-3d32-47db-a97c-ed5e25da46f2,70f658a0-3d32-47db-a97c-ed5e25da46f2,397397,291756,45.8,Sheepwash,River Tame,1985-10-28,,4101,9071,28101,"",Data Temporarily Suspended,-2.039788,52.523665,565146.344685009,5819717.56266442,0,0,1,0,0,0,0,0,0,0
f865f658-a32e-4601-b61e-e5c2f02c578a,f865f658-a32e-4601-b61e-e5c2f02c578a,503210,387470,27.2,Toft Newton- Ancholme,River Ancholme,1974-03-07,,029009,,29009,Active,"",-0.450095,53.374006,669626.536870651,5916907.03869378,0,0,1,0,0,0,0,0,0,0
d031ef9f-4e50-4c68-aa43-9b5589c32874,d031ef9f-4e50-4c68-aa43-9b5589c32874,436442,510549,,Low Moor,River Tees,1969-09-01,,F3606,8129,25009,Active,"",-1.438958,54.488963,601118.647220742,6039047.55387042,0,0,0,0,1,0,0,0,0,0
