"village","examinations","positives","negatives","prevalence","x","y","longitude","latitude","water.distance.km","elevation.km","features.index","features.distance.km"
"mele",30,30,0,1,3371187.10272002,286837.05579139,30.283889,2.575833,2.21692808655121,1.29552941894531,3210,3.4760813444722
"obitabo",30,30,0,1,3372887.84190036,286403.697093094,30.299167,2.571944,3.84559843224272,1.33038232421875,3210,3.87922015857506
"kisu",30,30,0,1,3366610.64713402,273527.776863169,30.242778,2.456389,1.683275927058,1.3108095703125,3489,5.62538923690724
"wadaka",30,9,21,0.3,3388194.27188443,309992.130118202,30.436667,2.783611,4.10263723140316,1.12190783691406,2934,3.88828586667544
"mondoli",30,17,13,0.566666666666667,3391750.26169833,306927.263393801,30.468611,2.756111,0.379322491345895,1.17591430664063,2934,3.28629375426185
"ngbeku",30,19,11,0.633333333333333,3382566.40370789,318010.718857363,30.386111,2.855556,0.0758679226764497,1.02601062011719,2795,2.24061071175627
"angaliri",30,23,7,0.766666666666667,3381453.20879996,317639.118798175,30.376111,2.852222,0.507669807872815,1.02552844238281,2795,2.63313090687286
"adranga",30,13,17,0.433333333333333,3385287.60866033,323490.7753276,30.410556,2.904722,3.51709007985981,1.09970397949219,2795,4.59938419378295
"aoalango",30,27,3,0.9,3389060.00356433,321478.33233757,30.444444,2.886667,2.13186899608075,1.08570947265625,2796,3.27784660053507
"kandoy",38,31,7,0.815789473684211,3374990.55576195,281760.857630102,30.318056,2.530278,7.47637813136169,1.36341467285156,3350,3.30648032484125
"ege",33,31,2,0.939393939393939,3385287.60866033,284732.230800235,30.410556,2.556944,1.96329830064324,1.20950988769531,3351,5.55635248171249
"membi (tu",30,25,5,0.833333333333333,3379597.84684691,302593.216759274,30.359444,2.717222,6.50838312302284,1.15800256347656,3072,3.44782839185724
"erekey",31,31,0,1,3379195.87216565,293616.078129263,30.355833,2.636667,7.05402822953633,1.28803454589844,3211,4.4710225153956
"nzinza",30,30,0,1,3382628.29734477,278758.457761623,30.386667,2.503333,2.34181242571186,1.23973706054687,3351,1.54075362457463
"alungba",30,30,0,1,3378577.49239429,286991.835035097,30.350278,2.577222,8.68267925393467,1.30157177734375,3211,4.74576671394972
"kere-kere",30,19,11,0.633333333333333,3394069.38065003,317515.289503727,30.489444,2.851111,0.885894643680792,1.13950939941406,2796,3.34095406329436
"zani",30,16,14,0.533333333333333,3394316.84387806,292192.137491961,30.491667,2.623889,0.59852222489014,1.23181420898438,3212,2.99929948139449
"ama-amaie",50,30,20,0.6,3414137.83581126,273496.8015858,30.669722,2.456111,0.0435011986653573,1.57206323242188,3494,3.89017117442169
"aringo",33,3,30,0.0909090909090909,3425826.38234455,260900.529268444,30.774722,2.343056,1.57175930904954,1.65660302734375,3636,3.81462752302902
"thedeja",30,2,28,0.0666666666666667,3451213.4601369,243323.034302691,31.002778,2.185278,1.22418219021725,1.64333312988281,3929,3.24290236558813
"luga",30,0,30,0,3431268.68092995,254525.29315664,30.823611,2.285833,2.6863708820224,1.73253674316406,3781,4.4028951325039
"tilal",35,1,34,0.0285714285714286,3433309.50115466,264645.264559161,30.841944,2.376667,1.43932798875061,1.62875268554688,3637,4.61556654069841
"logo",30,0,30,0,3443328.25532605,243694.332605291,30.931944,2.188611,4.08233896962543,1.80328466796875,3928,3.71413535113094
"ndama",30,0,30,0,3439524.91360361,243694.332605291,30.897778,2.188611,4.97422457499724,1.87436340332031,3928,4.32936427279896
"mahagi",30,0,30,0,3437020.22506076,256258.367589141,30.875278,2.301389,1.97236292364096,1.73946765136719,3637,6.32051655673803
"panyadong",30,0,30,0,3466705.34839264,237691.164345367,31.141944,2.134722,2.3478586747026,1.13110485839844,3930,5.26315472469815
"pogi-jagi",30,9,21,0.3,3457057.73340355,248831.212352695,31.055278,2.234722,0.736262992942025,1.42906408691406,3783,5.16452949005888
"jupazanga",30,2,28,0.0666666666666667,3418559.66862455,255206.109748473,30.709444,2.291944,2.12133585490429,1.67718420410156,3636,6.10607922695361
"rabu",31,3,28,0.0967741935483871,3419023.53694269,229089.094146553,30.713611,2.0575,0.423812279001543,1.79819274902344,4073,3.24846752118622
"kunukezi",31,26,5,0.838709677419355,3392832.50978783,286651.410067299,30.478333,2.574167,3.89583599687746,1.25831604003906,3212,3.62541414760043
"koch",33,31,2,0.939393939393939,3400006.494372,291108.757756426,30.542778,2.614167,3.96007278224079,1.2808427734375,3213,2.26239144357221
"tali tali",50,29,21,0.58,3397408.96537383,280337.035992764,30.519444,2.5175,1.4120203576837,1.32022290039062,3353,4.67026987690333
"azabho",50,47,3,0.94,3405788.87400176,286960.856886411,30.594722,2.576944,3.98405236452542,1.40412878417969,3213,4.92455569687476
"dabu-paju",30,27,3,0.9,3453470.79677121,231285.96708623,31.023056,2.077222,1.71113212322744,1.0833232421875,4076,1.76848934004503
"ndroy",33,33,0,1,3447255.38432226,234225.53340986,30.967222,2.103611,2.33396578922349,1.85342590332031,4076,6.28302057914402
"kanga",30,21,9,0.7,3445802.10836995,230945.662750624,30.954167,2.074167,4.13859148285173,1.92669921875,4075,3.79940436624162
"kpagboma",30,11,19,0.366666666666667,3440947.35405697,224107.521553531,30.910556,2.012778,5.02857591879626,2.0497353515625,4222,4.07020537897101
"jupa lung",37,19,18,0.513513513513513,3455295.10058633,237010.419853949,31.039444,2.128611,1.04657027962892,1.34934985351562,3929,4.52892900704198
"ukeru-ban",42,6,36,0.142857142857143,3457583.38403908,241590.096969169,31.06,2.169722,1.12045884443925,1.39736877441406,3930,4.70466432751461
"ndaru mus",44,2,42,0.0454545454545455,3448430.47286707,217702.811048026,30.977778,1.955278,1.09830817449759,0.707741516113281,4223,4.41819842992166
"musongwa",49,17,32,0.346938775510204,3444225.04514388,217764.629368533,30.94,1.955833,1.64895637261364,1.02624206542969,4222,3.24517688780738
"jupugwoko",30,21,9,0.7,3450656.86268294,227882.39623291,30.997778,2.046667,1.12231984090964,1.30060766601562,4076,2.71584036191071
"jupanyaru",50,18,32,0.36,3448368.57923019,220580.225019637,30.977222,1.981111,1.78006507777769,0.94838623046875,4223,3.72828492595364
"bessi",30,25,5,0.833333333333333,3448739.7184125,222653.24282627,30.980556,1.999722,1.41072291258663,0.952882568359375,4223,4.14370090046209
"babagulu",59,59,0,1,2850149.65821214,58875.4883852717,25.60333,0.52888,5.82756982912059,0.477667266845703,6407,2.33715150065078
"babise",50,36,14,0.72,2900831.19598051,204863.07907034,26.05861,1.84,3.83543827460249,0.469407440185547,4461,4.82931212020874
"babomonga",40,40,0,1,2880979.59118734,59896.332364853,25.88028,0.53805,1.74565449573038,0.482115966796875,6410,1.13805861089553
"babongene",34,33,1,0.970588235294118,2875970.21410165,63514.3851754727,25.83528,0.57055,2.41092169570861,0.459349273681641,6409,5.11461864729991
"badambila",50,23,27,0.46,2813353.00053043,122674.962590741,25.27278,1.10194,5.12976079440997,0.463836639404297,5586,2.78690227548675
"baduka",30,28,2,0.933333333333333,2848728.10831471,10079.9840873781,25.59056,0.09055,2.52730106696478,0.465238861083984,7079,3.35108751585458
"bagbune",30,30,0,1,2799190.93491171,83986.3036221402,25.14556,0.75444,6.05624499804937,0.410100372314453,6133,4.76309272509934
"balabala",30,30,0,1,2712701.25653987,-116119.322208593,24.36861,-1.04306,7.28765403140665,0.492873748779297,8798,3.73591851605885
"bandangi",50,31,19,0.62,2837843.28850495,184414.18071297,25.49278,1.65639,0.849946521690275,0.448295562744141,4742,5.97561280581864
"bangbunda",50,30,20,0.6,2878103.09554524,197376.462002471,25.85444,1.77278,2.29918034539381,0.463424957275391,4459,4.87339235581224
"basua",50,6,44,0.12,2830854.65087295,-40661.9458383259,25.43,-0.36527,2.50613632171161,0.431855407714844,7740,1.49422930986325
"batiambal",30,11,19,0.366666666666667,2806673.83108283,63545.5561791186,25.21278,0.57083,0.161318946725495,0.408747650146484,6402,5.68688230872162
"batikalel",72,66,6,0.916666666666667,2832586.78214969,38899.7240179761,25.44556,0.34944,2.05179270507228,0.451010955810547,6673,1.39403391191988
"bavili",50,8,42,0.16,2832926.30659661,-19480.9411781663,25.44861,-0.175,9.45007794550608,0.460433288574219,7477,0.908093267867264
"bayasua",100,99,1,0.99,2808498.35753693,91285.0987449781,25.22917,0.82,0.86636393037934,0.411457214355469,5999,3.74046790011184
"belgika",50,32,18,0.64,2809549.21353002,111200.446066032,25.23861,0.99888,2.78947557584522,0.437765258789062,5724,2.71970788806531
"biaro",94,56,38,0.595744680851064,2818795.41043531,26160.1536830397,25.32167,0.235,6.11135468371779,0.435684997558594,6806,5.20269098325389
"binakaike",30,12,18,0.4,2806735.05680277,55814.0786285129,25.21333,0.50138,4.26552054347784,0.39937451171875,6402,6.39597025409143
"bobende",50,34,16,0.68,2819785.04070846,175907.091534277,25.33056,1.58,5.05316707768686,0.429214752197266,4740,4.8640801191413
"bogbode",50,21,29,0.42,2862488.31057167,190631.834473322,25.71417,1.71222,3.0697641093106,0.476035675048828,4601,0.598259149770613
"bokope",50,41,9,0.82,2890874.78072396,209906.29046449,25.96917,1.88528,4.69110427425785,0.443944183349609,4314,1.23706843834409
"bomboma",50,21,29,0.42,2852530.78212021,189456.892471313,25.62472,1.70167,0.0521197367056235,0.470867584228516,4600,0.868292488679678
"bongonata",50,13,37,0.26,2844646.02258733,237072.690429094,25.55389,2.12917,2.00237821220431,0.488831085205078,3868,4.04500609692541
"bongwambo",32,27,5,0.84375,2824237.82034019,65153.0914415544,25.37056,0.58527,0.146567175210485,0.450054046630859,6404,5.40636618978685
"bopando",50,16,34,0.32,2820619.93688941,188249.660179672,25.33806,1.69083,0.750741485385103,0.437293579101563,4597,2.43240486807404
"bosukulu",74,32,42,0.432432432432432,2738675.43332667,92737.9692696639,24.60194,0.83305,1.95625799015542,0.450423797607422,5992,4.24580204525783
"ihoa",50,30,20,0.6,2656484.91368927,77925.5821410681,23.86361,0.7,3.70546370741334,0.433415740966797,6118,4.9587256472856
"kole",50,9,41,0.18,2821856.69643213,126293.535185625,25.34917,1.13444,3.22349964402888,0.461364227294922,5448,3.90994386618977
"lifulutut",40,14,26,0.35,2631314.463626,-59247.3114253913,23.6375,-0.53222,1.66953352446971,0.439053009033203,7980,0.943494210842269
"ligasa et",51,26,25,0.509803921568627,2658928.37651218,101119.068847998,23.88556,0.90833,2.16550892786948,0.395660186767578,5847,3.28092415551624
"likatelo",30,8,22,0.266666666666667,2685892.18357213,-97902.6572978383,24.12778,-0.87944,5.98259951181987,0.474260101318359,8519,4.26202411995882
"lonyeri i",30,25,5,0.833333333333333,2649311.48570255,-117727.04576585,23.79917,-1.0575,0.68242736104558,0.451783996582031,8792,3.45794289344191
"lowa",50,13,37,0.26,2862457.14111425,-68957.0887144447,25.71389,-0.61944,1.2484393904306,0.491358276367187,8134,0.927105853782431
"madula",35,30,5,0.857142857142857,2823526.48879403,50743.2987797161,25.36417,0.45583,1.02653107549918,0.437958068847656,6538,1.54879363589025
"mamboleo",50,19,31,0.38,2964314.47519009,-31879.8085144929,26.62889,-0.28638,1.77051431977313,0.558588623046875,7623,3.05284569436424
"mayunga",50,13,37,0.26,2989917.95807255,-155491.993203105,26.85889,-1.39667,9.96297803651423,0.589646179199219,9397,4.82126761115083
"muchaliko",50,11,39,0.22,2858065.58720245,-114170.913648179,25.67444,-1.02556,4.00947806880597,0.477127502441406,8674,5.93072662034182
"mweto/yam",50,34,16,0.68,2641703.91170174,91408.6760525263,23.73083,0.82111,0.542115324165655,0.427021484375,5982,1.26760857448272
"nahiseli",34,24,10,0.705882352941177,2687252.50774962,46970.5704990616,24.14,0.42194,4.12073485465682,0.402315673828125,6525,5.80419062559212
"najale(li",51,23,28,0.450980392156863,2861931.71311771,-32189.2806022681,25.70917,-0.28916,0.3734119468929,0.461348937988281,7613,2.39096717183351
"nalowe",50,36,14,0.72,2693684.54792766,-97902.6572978383,24.19778,-0.87944,0.335995906834738,0.453319030761719,8520,2.48878807356227
"obilo",50,15,35,0.3,2823309.41578698,4452.77999343552,25.36222,0.04,12.2026534920722,0.4440146484375,7209,4.43034420717276
"ohona",41,26,15,0.634146341463415,2678995.94111749,-114912.421011918,24.06583,-1.03222,2.62243999903497,0.495041534423828,8795,5.78005444390618
"okelakey",30,24,6,0.8,2694488.27465119,-204522.265993239,24.205,-1.83694,11.5589859602523,0.441040222167969,9933,5.2997619929902
"oluku",50,20,30,0.4,2819691.5323362,26746.8124455313,25.32972,0.24027,5.04727234900236,0.441897583007813,6806,4.1948449652099
"omongo",32,14,18,0.4375,2641209.65316262,-137954.52859805,23.72639,-1.23917,6.94990773890888,0.415936859130859,9075,2.04167226957062
"osowa",40,11,29,0.275,2662267.96123598,-65462.575849048,23.91556,-0.58805,1.88481242604869,0.446599243164063,8114,4.34435724709326
"osuke",50,28,22,0.56,2665050.94850581,-80677.6126767664,23.94056,-0.72472,0.231814734521528,0.444265502929687,8246,3.09982581644412
"ubundu",50,7,43,0.14,2828349.9623301,-19171.4715730649,25.4075,-0.17222,6.48892133484956,0.452917724609375,7477,3.78026147553234
"wanle ruk",50,36,14,0.72,2843068.62540278,28416.6204252597,25.53972,0.25527,7.0123542664921,0.476970916748047,6808,2.03806600171526
"weko",41,25,16,0.609756097560976,2730853.01270863,114016.154798746,24.53167,1.02417,1.06089060705298,0.464528350830078,5716,4.01029372416857
"yafake",40,21,19,0.525,2705063.62627655,95150.5243235879,24.3,0.85472,3.62258870364725,0.396103942871094,5988,5.78393578679369
"yafala in",30,23,7,0.766666666666667,2683696.96321369,28849.6576080972,24.10806,0.25916,1.48287734737598,0.393578247070313,6792,2.10709476039355
"yafala ri",43,28,15,0.651162790697674,2688273.3074802,26313.7758800894,24.14917,0.23638,0.420355359848419,0.41401611328125,6793,5.43604738990333
"yakamba",36,10,26,0.277777777777778,2778070.2879235,2813.043623545,24.95583,0.02527,3.25362751133687,0.456175323486328,7205,4.78510339107626
"yalisingo",38,26,12,0.684210526315789,2681377.06502555,24613.9137037087,24.08722,0.22111,6.05241919018046,0.400949615478516,6927,4.47179413458842
"yalosuka",30,21,9,0.7,2718329.56999438,6802.73537214393,24.41917,0.06111,2.15738826534969,0.456932037353516,7066,5.0563918870521
"yambasi",36,29,7,0.805555555555556,2684191.22175281,60113.4149783937,24.1125,0.54,3.79558801302782,0.426244140625,6390,2.11574064356444
"yambela",30,24,6,0.8,2769381.80166709,40477.1517453939,24.87778,0.36361,3.11900016861211,0.514085266113281,6667,2.709834875605
"yambula/y",30,24,6,0.8,2715701.31681675,-88284.7411874307,24.39556,-0.79305,1.58132795746053,0.439089630126953,8386,3.92924378711227
"yamkau",30,21,9,0.7,2709702.3094579,-147975.800749722,24.34167,-1.32917,6.70910269446513,0.481572662353516,9226,2.99625488124792
"yanangany",70,47,23,0.671428571428571,2774297.67038052,64380.4943439503,24.92194,0.57833,1.22991416660561,0.391760284423828,6399,4.73605261019328
"yankela",42,28,14,0.666666666666667,2764588.38439353,35281.7793443399,24.83472,0.31694,3.76045797536271,0.48779638671875,6666,5.51980787510594
"yaongendj",46,11,35,0.239130434782609,2780853.27519333,39456.3319726208,24.98083,0.35444,0.406219343933963,0.495322235107422,6668,1.43067340856862
"yaosenge",45,4,41,0.0888888888888889,2751014.0856862,59092.5706747255,24.71278,0.53083,3.39386364773956,0.443498931884766,6397,1.53311078747371
"yasikya",30,24,6,0.8,2783203.22964398,42455.3409100749,25.00194,0.38138,2.89546654714731,0.481208770751953,6668,2.52329191879252
"yate",50,35,15,0.7,2709918.26927004,-69080.6605838602,24.34361,-0.62055,1.89823858295098,0.413780242919922,8119,2.27643042383382
"yatoengo",50,32,18,0.64,2671667.77903857,55999.9893199119,24,0.50305,3.73289359106783,0.427146881103516,6389,4.21718587910163
"yatumbo l",42,12,30,0.285714285714286,2674513.10522324,91501.0807283384,24.02556,0.82194,4.99155769426966,0.392110626220703,5985,2.76294426302211
"yelenge",52,13,39,0.25,2789882.39909157,62555.8775502525,25.06194,0.56194,4.4978473737265,0.386095886230469,6401,3.22179761899849
"zambeke",50,6,44,0.12,2829122.5195962,201398.173197925,25.41444,1.80889,3.54431474630521,0.450128326416016,4454,3.18935628597359
"bolaka",32,6,26,0.1875,2059410.57967556,-43414.9366630521,18.5,-0.39,2.2229166800314,0.328358245849609,7663,4.48982431052237
"ekele",23,2,21,0.0869565217391304,2032693.90188518,-37848.8490038335,18.26,-0.34,3.18495776432514,0.324410400390625,7660,2.04892239655606
"bongo",45,4,41,0.0888888888888889,2085014.06255801,-105758.36216381,18.73,-0.95,3.25506402663868,0.350247131347656,8596,4.99824881535878
"boduma",31,18,13,0.580645161290323,2197446.74825922,569598.215704105,19.74,5.11,10.122534898718,0.3679130859375,14,5.40291709682113
"wenga",41,6,35,0.146341463414634,2076108.50329455,-112438.5090467,18.65,-1.01,3.90441063897316,0.3381787109375,8595,4.81654869975676
"mbanga il",44,10,34,0.227272727272727,2081674.47783422,-119118.779257818,18.7,-1.07,1.65876037526399,0.331371704101563,8735,0.793688956888775
"bongali",50,16,34,0.32,2345501.67101427,-17811.1416760977,21.07,-0.16,13.2428594101766,0.366877807617188,7428,3.96154728770092
"lokanga",35,0,35,0,2019335.56298998,-111325.142866386,18.14,-1,2.16886461041407,0.313105590820312,8590,3.13591625674254
"mpenda",50,3,47,0.06,2027127.92734551,-96851.6788283387,18.21,-0.87,1.06141820052487,0.328640258789063,8454,5.7622479106878
"esangani",46,19,27,0.41304347826087,2322124.57794769,-71245.9556981284,20.86,-0.64,1.56002145074561,0.369763153076172,8080,1.44399461963082
"bandambim",30,22,8,0.733333333333333,2174069.65519263,571833.524469837,19.53,5.13,7.50731023696047,0.373031494140625,12,2.57826824895157
"biambo",45,4,41,0.0888888888888889,2036033.48660897,-48981.0573856687,18.29,-0.44,3.63223044901853,0.331879150390625,7790,4.04076934964544
"mbolo",32,6,26,0.1875,2069429.33384696,-119118.779257818,18.59,-1.07,4.22267408317127,0.335171691894531,8734,2.73472058618953
"lokole",49,4,45,0.0816326530612245,2032693.90188518,-62339.9073868181,18.26,-0.56,2.19226678181356,0.315884643554687,7920,2.61105490522176
"bosongo",50,0,50,0,1964789.01250128,-118005.39201375,17.65,-1.06,2.01287710590364,0.314492736816406,8723,3.25341311104922
"isangi",32,4,28,0.125,2081674.47783422,-110211.780077918,18.7,-0.99,1.78125030614217,0.33964697265625,8596,0.573979768266679
"ilanga",50,6,44,0.12,2170730.07046883,12245.1515096035,19.5,0.11,1.8643532806428,0.351694549560547,7011,2.45121723783567
"boyeka",50,10,40,0.2,2074995.30838662,-93511.7221975796,18.64,-0.84,3.97675340961139,0.34893017578125,8322,4.71934684196784
"bombongo",50,23,27,0.46,2149579.36721811,-2226.38986107864,19.31,-0.02,0.962058244833942,0.360294647216797,7142,3.48036794984712
"bokangano",50,1,49,0.02,1874620.22495873,-212659.618276269,16.84,-1.91,4.77433101763109,0.299884857177734,9992,3.82478973802301
"bondia",50,3,47,0.06,1924713.9958157,-161430.494148645,17.29,-1.45,3.75813950124505,0.361042572021484,9290,3.09880210896307
"esenge",48,8,40,0.166666666666667,2060523.77458349,-84605.2940475183,18.51,-0.76,1.02521901942786,0.346158325195312,8186,5.04752169736327
"mbuli",34,5,29,0.147058823529412,2041599.46114864,-85718.5881887126,18.34,-0.77,2.6883221870827,0.342762603759766,8319,4.11199213662105
"banga ked",30,18,12,0.6,2125089.07924359,536076.802156029,19.09,4.81,4.1910504888119,0.372868927001953,163,6.60611686251821
"djombo",50,21,29,0.42,2372218.34880466,33395.9998333793,21.31,0.3,0.511190969248055,0.397550964355469,6761,3.20185542017068
"sungu",50,4,46,0.08,1930279.97035536,-115778.628278087,17.34,-1.04,7.95335040132354,0.297592254638672,8720,4.40718824692218
"nkoso",41,6,35,0.146341463414634,2003750.83427892,-100191.662015621,18,-0.9,7.51103681753122,0.315507598876953,8451,1.71828466369845
"tagwa",30,15,15,0.5,2235295.37512893,542779.8737375,20.08,4.87,0.259614028877535,0.375093200683594,119,4.12636803681731
"longo bio",38,5,33,0.131578947368421,2086127.25746595,-132479.718987726,18.74,-1.19,3.97190837350246,0.314892242431641,8876,4.85485743728611
"bwembete",35,1,34,0.0285714285714286,2028241.12225344,-73472.4888021258,18.22,-0.66,2.03566323874045,0.324217102050781,8051,5.3086824420106
"mbondo",50,2,48,0.04,1934732.74998709,-160316.945122314,17.38,-1.44,1.01276878075273,0.337337188720703,9291,2.70493150287183
"nzalekend",34,4,30,0.117647058823529,2031580.70697724,-100191.662015621,18.25,-0.9,2.05717295731341,0.317295349121094,8454,0.630641615400643
"mpoka",50,2,48,0.04,1896884.12311738,-160316.945122314,17.04,-1.44,4.34012866102364,0.341128295898438,9287,4.83440413949276
"butela",33,3,30,0.0909090909090909,2082787.67274215,-91285.0987449783,18.71,-0.82,3.13382349615328,0.352042938232422,8323,1.64384872640185
"iyali",50,26,24,0.52,2297634.28997317,-50094.2858708541,20.64,-0.45,8.24227967026808,0.368325378417969,7817,4.45240863670381
"bosekele",50,7,43,0.14,2508028.12757245,144727.756288488,22.53,1.3,4.34378857313367,0.471371398925781,5277,6.0761770042296
"bavula",42,0,42,0,2128428.66396739,500336.880674129,19.12,4.49,3.21481375860784,0.461047302246094,378,3.65114968543262
"kalanga",50,2,48,0.04,1905789.68238084,-150295.219661496,17.12,-1.35,5.34880082093118,0.345302124023438,9145,3.74506124580134
"bokalia",50,33,17,0.66,2287615.53580177,-66792.9152642511,20.55,-0.6,3.24960303720886,0.375721343994141,8077,5.38191295278951
"bosanga b",50,28,22,0.56,2294294.70524937,-16697.9426933187,20.61,-0.15,2.22889016509265,0.365990264892578,7423,3.8154096353771
"mokanda y",50,1,49,0.02,1908016.07219671,-121345.56466812,17.14,-1.09,8.65821292178264,0.320322875976563,8718,4.34426099628706
"degba",45,23,22,0.511111111111111,2110617.54544047,518204.811970955,18.96,4.65,2.45258832320913,0.428855590820312,225,2.46987304981375
"bonginda",50,3,47,0.06,1944751.50415849,-133593.156061576,17.47,-1.2,7.8935377978967,0.318852691650391,8862,4.63890697887627
"yosaswa",50,45,5,0.9,2569253.84750875,-190384.594956892,23.08,-1.71,0.592735774560885,0.447672180175781,9780,2.88262948034085
"yolonga",50,35,15,0.7,2546989.9493501,-132479.718987726,22.88,-1.19,1.39563969632006,0.442292266845703,8922,5.59480827286665
"momboyo m",50,38,12,0.76,2313219.01868423,-79038.8613259626,20.78,-0.71,4.8930795603016,0.392616851806641,8211,1.37382352927943
"bogose-ko",50,38,12,0.76,2197446.74825922,384284.530754935,19.74,3.45,2.32641166537665,0.391189514160156,1857,6.17627249038646
"mabinza",41,2,39,0.0487804878048781,2018222.36808205,-102418.332679832,18.13,-0.92,1.68245567331721,0.308996520996094,8453,4.65839171961006
"eandja",50,45,5,0.9,2368878.76408086,-20037.5413032515,21.28,-0.18,6.57304918505876,0.39204150390625,7431,3.20698609511092
"bokela",30,20,10,0.666666666666667,2490217.00904553,-140273.865176941,22.37,-1.26,3.64323514861286,0.416878356933594,9060,1.91886874383029
"ndongo ay",30,2,28,0.0666666666666667,1910242.46201257,-134706.597206097,17.16,-1.21,1.47287288496332,0.319983276367187,8859,5.23582527088576
"bosenge r",30,13,17,0.433333333333333,2483537.83959793,162544.048094531,22.31,1.46,2.52913126657062,0.408125640869141,4991,2.7642450139489
"inkaka",30,22,8,0.733333333333333,2245314.12930033,-8905.56215710449,20.17,-0.08,8.32550644170666,0.374924224853516,7284,3.3590189729496
"bobanga",30,3,27,0.1,1904676.48747291,-131366.285950599,17.11,-1.18,0.439552620305129,0.333152191162109,8858,3.03335884091739
