"village","examinations","positives","negatives","prevalence","x","y","longitude","latitude","water.distance.km","elevation.km","features.index","features.distance.km"
"loli-cath",34,34,0,1,3399789.97796241,377872.231530546,30.540833,3.3925,3.71751470037214,1.12226159667969,1977,3.26142298550411
"ambimaro",40,37,3,0.925,3394718.81855932,380815.038806812,30.495278,3.418889,0.388446256865649,1.14831042480469,1976,2.71295049360078
"iri",41,31,10,0.75609756097561,3410798.25108746,394941.629673828,30.639722,3.545556,1.98903817670155,1.17571655273437,1841,4.9137167375811
"anyika",58,54,4,0.931034482758621,3389369.24910976,348448.585564305,30.447222,3.128611,2.36233319128763,1.13303247070312,2385,3.2234377216739
"aloga",43,41,2,0.953488372093023,3397161.61346529,354394.602154686,30.517222,3.181944,2.24763155905542,1.1496435546875,2386,6.46375402619522
"onzari",40,40,0,1,3388534.35292881,387258.519150584,30.439722,3.476667,3.39910515412807,1.08536865234375,1839,4.60299441952031
"didi-madh",52,51,1,0.980769230769231,3398986.0285999,395251.357200172,30.533611,3.548333,1.38482479809898,1.15976159667969,1705,5.83240425565394
"utru",44,40,4,0.909090909090909,3410241.65363349,378182.020399923,30.634722,3.395278,0.199014756965169,1.16353796386719,1978,2.72584126742128
"adi",41,32,9,0.780487804878049,3388534.35292881,387289.411509073,30.439722,3.476944,3.39457035279758,1.08536865234375,1839,4.58333314488593
"atso",34,29,5,0.852941176470588,3419982.10907791,383200.323279123,30.722222,3.440278,0.465418967313746,1.17353125,1979,3.66163338069358
"azigi-kon",59,55,4,0.932203389830508,3392121.28956115,364646.13844156,30.471944,3.273889,2.42126070177629,1.11265478515625,2249,4.44909787000971
"nzinzi-au",101,99,2,0.98019801980198,3383370.3530704,378646.593859361,30.393333,3.399444,0.296494223469917,1.05546655273437,1975,2.01914741084465
"rodo-miri",31,27,4,0.870967741935484,3417168.17498963,392215.242145237,30.696944,3.521111,4.30137531955064,1.15823010253906,1842,5.30756266674997
"rumu",39,33,6,0.846153846153846,3426630.33170706,388373.772504132,30.781944,3.486667,2.14605996472205,1.16459973144531,1842,4.90475602657964
"rikazu",30,14,16,0.466666666666667,3433247.71883727,365110.766022216,30.841389,3.278056,2.38839059264595,1.24130297851563,2253,5.05101899796967
"abedju",30,3,27,0.1,3434577.3188353,371336.428079242,30.853333,3.333889,0.234069760547439,1.21911145019531,2117,2.74746856788165
"gaki",30,5,25,0.166666666666667,3441565.73382832,385120.946073709,30.916111,3.4575,5.95889979478189,1.24104284667969,1981,4.95017453576659
"witsiri",30,9,21,0.3,3419394.5648055,360093.291447591,30.716944,3.233056,3.96375062229616,1.24545068359375,2252,2.68459227497284
"malinga",44,32,12,0.727272727272727,3424249.43043798,304450.679946591,30.760556,2.733889,0.541458063302754,1.350189453125,3076,4.77602522224637
"vurra/yan",34,24,10,0.705882352941177,3412066.06876811,290861.036950111,30.651111,2.611944,2.21503113110053,1.406802734375,3214,0.663869724681551
"alivu-vum",34,25,9,0.735294117647059,3417353.74458079,307886.949103692,30.698611,2.764722,1.29707406769833,1.26637817382813,2937,5.25813922986582
"onibha",46,32,14,0.695652173913043,3412097.01558655,290984.953016119,30.651389,2.613056,2.30210152315071,1.406802734375,3214,0.787944054816358
"araka",33,16,17,0.484848484848485,3408386.40299993,301138.312860833,30.618056,2.704167,5.8700774522511,1.26242492675781,3075,3.80882445460066
"ayiko",34,13,21,0.382352941176471,3410334.49408882,311137.628448658,30.635556,2.793889,2.84254003032625,1.27309558105469,2936,1.98018159462956
"etopi",34,5,29,0.147058823529412,3416426.11926401,371893.970536681,30.690278,3.338889,1.07448318344327,1.17808850097656,2115,4.668235392281
"nono (ben",34,4,30,0.117647058823529,3411323.90172299,326803.713441395,30.644444,2.934444,0.109833217652127,1.23349548339844,2660,3.4761369510735
"essebi",46,12,34,0.260869565217391,3410891.09154278,318506.038669846,30.640556,2.86,1.17834725403687,1.24880590820313,2798,2.06565886122692
"avari",35,16,19,0.457142857142857,3421373.60271282,294266.094391919,30.734722,2.6425,0.908510271899938,1.4742509765625,3215,4.12921126128583
"assada",30,30,0,1,3370259.47740324,277582.362893276,30.275556,2.492778,5.63262506762156,1.36361303710938,3350,3.18458684479054
