"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,41,"CMR","Cameroon",1,"Adamaoua",1,"Djerem",1,"Ngaoundal","Arrondissement","Arrondissement",NA,NA
2,41,"CMR","Cameroon",1,"Adamaoua",1,"Djerem",2,"Tibati","Arrondissement","Arrondissement",NA,NA
3,41,"CMR","Cameroon",1,"Adamaoua",2,"Faro et Déo",3,"Galim Tignère","Arrondissement","Arrondissement",NA,NA
4,41,"CMR","Cameroon",1,"Adamaoua",2,"Faro et Déo",4,"Mayo Baléo","Arrondissement","Arrondissement",NA,NA
5,41,"CMR","Cameroon",1,"Adamaoua",2,"Faro et Déo",5,"Tignère","Arrondissement","Arrondissement",NA,NA
6,41,"CMR","Cameroon",1,"Adamaoua",3,"Mayo Banyo",6,"Bankim","Arrondissement","Arrondissement",NA,NA
7,41,"CMR","Cameroon",1,"Adamaoua",3,"Mayo Banyo",7,"Banyo","Arrondissement","Arrondissement",NA,NA
8,41,"CMR","Cameroon",1,"Adamaoua",3,"Mayo Banyo",8,"Mayo Darlé","Arrondissement","Arrondissement",NA,NA
9,41,"CMR","Cameroon",1,"Adamaoua",4,"Mbéré",9,"Dir","Arrondissement","Arrondissement",NA,NA
10,41,"CMR","Cameroon",1,"Adamaoua",4,"Mbéré",10,"Djohong","Arrondissement","Arrondissement",NA,NA
11,41,"CMR","Cameroon",1,"Adamaoua",4,"Mbéré",11,"Meiganga","Arrondissement","Arrondissement",NA,NA
12,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",12,"Belel","Arrondissement","Arrondissement",NA,NA
13,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",13,"Martap","Arrondissement","Arrondissement",NA,NA
14,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",14,"Mbé","Arrondissement","Arrondissement",NA,NA
15,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",15,"Nganha","Arrondissement","Arrondissement",NA,NA
16,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",16,"Ngaoundéré 1","Arrondissement","Arrondissement",NA,NA
17,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",17,"Ngaoundéré 2","Arrondissement","Arrondissement",NA,NA
18,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",18,"Ngaoundéré 3","Arrondissement","Arrondissement",NA,NA
19,41,"CMR","Cameroon",1,"Adamaoua",5,"Vina",19,"Nyambaka","Arrondissement","Arrondissement",NA,NA
20,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",20,"Bibé","Arrondissement","Arrondissement",NA,NA
21,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",21,"Lembé Yézoum","Arrondissement","Arrondissement",NA,NA
22,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",22,"Mbandjock","Arrondissement","Arrondissement",NA,NA
23,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",23,"Minta","Arrondissement","Arrondissement",NA,NA
24,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",24,"Nanga Eboko","Arrondissement","Arrondissement",NA,NA
25,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",25,"Nkoteng","Arrondissement","Arrondissement",NA,NA
26,41,"CMR","Cameroon",2,"Centre",6,"Haute Sanaga",26,"Nsem","Arrondissement","Arrondissement",NA,NA
27,41,"CMR","Cameroon",2,"Centre",7,"Lekié",27,"Batchenga","Arrondissement","Arrondissement",NA,NA
28,41,"CMR","Cameroon",2,"Centre",7,"Lekié",28,"Ebebda","Arrondissement","Arrondissement",NA,NA
29,41,"CMR","Cameroon",2,"Centre",7,"Lekié",29,"Elig Mfomo","Arrondissement","Arrondissement",NA,NA
30,41,"CMR","Cameroon",2,"Centre",7,"Lekié",30,"Evodoula","Arrondissement","Arrondissement",NA,NA
31,41,"CMR","Cameroon",2,"Centre",7,"Lekié",31,"Lobo","Arrondissement","Arrondissement",NA,NA
32,41,"CMR","Cameroon",2,"Centre",7,"Lekié",32,"Monatelé","Arrondissement","Arrondissement",NA,NA
33,41,"CMR","Cameroon",2,"Centre",7,"Lekié",33,"Obala","Arrondissement","Arrondissement",NA,NA
34,41,"CMR","Cameroon",2,"Centre",7,"Lekié",34,"Okola","Arrondissement","Arrondissement",NA,NA
35,41,"CMR","Cameroon",2,"Centre",7,"Lekié",35,"Sa'a","Arrondissement","Arrondissement",NA,NA
36,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",36,"Bafia","Arrondissement","Arrondissement",NA,NA
37,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",37,"Bokito","Arrondissement","Arrondissement",NA,NA
38,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",38,"Deuk","Arrondissement","Arrondissement",NA,NA
39,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",39,"Kiiki","Arrondissement","Arrondissement",NA,NA
40,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",40,"Kon-Yambetta","Arrondissement","Arrondissement",NA,NA
41,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",41,"Makénéné","Arrondissement","Arrondissement",NA,NA
42,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",42,"Ndikiniméki","Arrondissement","Arrondissement",NA,NA
43,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",43,"Ntoukou","Arrondissement","Arrondissement",NA,NA
44,41,"CMR","Cameroon",2,"Centre",8,"Mbam et Inoubou",44,"Ombessa","Arrondissement","Arrondissement",NA,NA
45,41,"CMR","Cameroon",2,"Centre",9,"Mbam et Kim",45,"Mbangassina","Arrondissement","Arrondissement",NA,NA
46,41,"CMR","Cameroon",2,"Centre",9,"Mbam et Kim",46,"Ngambé Tikar","Arrondissement","Arrondissement",NA,NA
47,41,"CMR","Cameroon",2,"Centre",9,"Mbam et Kim",47,"Ngoro","Arrondissement","Arrondissement",NA,NA
48,41,"CMR","Cameroon",2,"Centre",9,"Mbam et Kim",48,"Ntui","Arrondissement","Arrondissement",NA,NA
49,41,"CMR","Cameroon",2,"Centre",9,"Mbam et Kim",49,"Yoko","Arrondissement","Arrondissement",NA,NA
50,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",50,"Afanloum","Arrondissement","Arrondissement",NA,NA
51,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",51,"Assamba","Arrondissement","Arrondissement",NA,NA
52,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",52,"Awaé","Arrondissement","Arrondissement",NA,NA
53,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",53,"Edzendouan","Arrondissement","Arrondissement",NA,NA
54,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",54,"Esse","Arrondissement","Arrondissement",NA,NA
55,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",55,"Mfou","Arrondissement","Arrondissement",NA,NA
56,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",56,"Nlolofamba","Arrondissement","Arrondissement",NA,NA
57,41,"CMR","Cameroon",2,"Centre",10,"Mefou et Afamba",57,"Soa","Arrondissement","Arrondissement",NA,NA
58,41,"CMR","Cameroon",2,"Centre",11,"Mefou et Akono",58,"Akono","Arrondissement","Arrondissement",NA,NA
59,41,"CMR","Cameroon",2,"Centre",11,"Mefou et Akono",59,"Bikok","Arrondissement","Arrondissement",NA,NA
60,41,"CMR","Cameroon",2,"Centre",11,"Mefou et Akono",60,"Mbankomo","Arrondissement","Arrondissement",NA,NA
61,41,"CMR","Cameroon",2,"Centre",11,"Mefou et Akono",61,"Ngoumou","Arrondissement","Arrondissement",NA,NA
62,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",62,"Yaoundé 1","Arrondissement","Arrondissement",NA,NA
63,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",63,"Yaoundé 2","Arrondissement","Arrondissement",NA,NA
64,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",64,"Yaoundé 3","Arrondissement","Arrondissement",NA,NA
65,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",65,"Yaoundé 4","Arrondissement","Arrondissement",NA,NA
66,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",66,"Yaoundé 5","Arrondissement","Arrondissement",NA,NA
67,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",67,"Yaoundé 6","Arrondissement","Arrondissement",NA,NA
68,41,"CMR","Cameroon",2,"Centre",12,"Mfoundi",68,"Yaoundé 7","Arrondissement","Arrondissement",NA,NA
69,41,"CMR","Cameroon",2,"Centre",13,"Nyong et Kéllé",69,"Biyouha","Arrondissement","Arrondissement",NA,NA
70,41,"CMR","Cameroon",2,"Centre",13,"Nyong et Kéllé",70,"Bondjock","Arrondissement","Arrondissement",NA,NA
71,41,"CMR","Cameroon",2,"Centre",13,"Nyong et Kéllé",71,"Bot Makak","Arrondissement","Arrondissement",NA,NA
