"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,63,"COD","Democratic Republic of the Congo",1,"Équateur","Province","Province",NA,"Equator|Equatorial"
2,63,"COD","Democratic Republic of the Congo",2,"Bandundu","Province","Province",NA,NA
3,63,"COD","Democratic Republic of the Congo",3,"Bas-Congo","Province","Province",NA,"Bas-Zaire|Bas-Zaïre|Kongo-Central|Lower Zaire"
4,63,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental","Province","Province",NA,"Kasai West|West Kasai|West Kassai"
5,63,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental","Province","Province",NA,"East Kasai|Kasai East"
6,63,"COD","Democratic Republic of the Congo",6,"Katanga","Province","Province",NA,"Shaba"
7,63,"COD","Democratic Republic of the Congo",7,"Kinshasa City","Neutral City","Neutral City",NA,"Kinshasa|Léopoldville"
8,63,"COD","Democratic Republic of the Congo",8,"Kivu","Province","Province",NA,"Kivou"
9,63,"COD","Democratic Republic of the Congo",9,"Orientale","Province","Province",NA,"Haut-Zaire|Haut-ZaïreUpper Zaire"
